

;Start
4150000, Yangon, Rangoon, Myanmar, 
4125000, Changsha, Changsha, China, 
4100000, Brasília, Brasília, Brazil, 
4100000, Porto Alegre, Porto Alegre, Brazil, 
4050000, Quanzhou, Quanzhou, China, incl. Jinjiang
4025000, Jiddah, Jeddah, Saudi Arabia, 
4000000, Seattle, Seattle, United States of America, 
4000000, Taiyuan, Taiyuan, China, 
3950000, Cape Town, Cape Town, South Africa, 
3950000, Kano, Kano, Nigeria, 
3950000, Montréal, Montreal, Canada, 
3950000, Tampa, Tampa, United States of America, incl. Lakeland St. Petersburg Sarasota
3925000, Al-Kuwayt, Kuwait City, Kuwait, 
3900000, Recife, Recife, Brazil, 
3800000, Jinan, Jinan, China, 
3800000, Kunming, Kunming, China, 
3800000, Salvador, Salvador, Brazil, 
3775000, Faisalabad, Faisalabad, Pakistan, 
3750000, Fortaleza, Fortaleza, Brazil, 
3750000, Fuzhou, Fuzhou, China, 
3725000, Medellín, Medellín, Colombia, 
3725000, Shijiazhuang, Shijiazhuang, China, 
3675000, Busan, Pusan, Korea (South), 
3650000, Changchun, Changchun, China, 
3650000, Rāwalpindi, Rawalpindi, Pakistan, incl. Islamabad
3600000, Athínai, Athens, Greece, 
3575000, El Djazaïr, Algiers, Algeria, 
3550000, Caracas, Caracas, Venezuela, 
3550000, Dimashq, Damascus, Syria, 
3525000, Santo Domingo, Santo Domingo, Dominican Republic, 
3450000, Kābol, Kabul, Afghanistan, 
3450000, Ürümqi, Ürümqi, China, 
3400000, Denver, Denver, United States of America, 
3375000, Curitiba, Curitiba, Brazil, 
3375000, Jaipur, Jaipur, India, 
3325000, Kyïv, Kiev, Ukraine, 
3325000, Medan, Medan, Indonesia, 
3300000, Adis Abeba, Addis Ababa, Ethiopia, 
3275000, Roma, Rome, Italy, 
3250000, 'Ammān, Amman, Jordan, 
3225000, Kānpur, Kanpur, India, 
3200000, Lucknow, Lucknow, India, 
3200000, San Diego, San Diego, United States of America, 
3200000, Zibo, Zibo, China, 
3150000, Durban, Durban, South Africa, 
3125000, Wuxi, Wuxi, China, 
3075000, Birmingham, Birmingham, Great Britain, 
3075000, Cleveland, Cleveland, United States of America, incl. Akron
3075000, Rotterdam, Rotterdam, Netherlands, Randstad South incl. 's-Gravenhage (The Hague)
3050000, Campinas, Campinas, Brazil, 
3025000, Nanning, Nanning, China, 
3000000, Minneapolis, Minneapolis, United States of America, 
2975000, Ḥalab, Aleppo, Syria, 
2975000, Manchester, Manchester, Great Britain, 
2950000, Mashhad, Meshed, Iran, 
2950000, Nāgpur, Nagpur, India, 
2950000, Orlando, Orlando, United States of America, 
2925000, Ciudad de Guatemala, Guatemala City, Guatemala, 
2925000, Dakar, Dakar, Senegal, 
2925000, Ibadan, Ibadan, Nigeria, 
2925000, Nanchang, Nanchang, China, 
2925000, Ningbo, Ningbo, China, 
2900000, İzmir, Izmir, Turkey, 
2900000, Puebla, Puebla, Mexico, 
2875000, Cali, Cali, Colombia, 
2875000, Hà Nội, Hanoi, Vietnam, 
2850000, Pretoria, Pretoria, South Africa, incl. Soshanguve
2800000, Brisbane, Brisbane, Australia, incl. Gold Coast
2800000, Gaoxiong, Kaohsiung, Taiwan (Rep. of China), 
2775000, Bamako, Bamako, Mali, 
2775000, P'yŏngyang, Pyongyang, Korea (North), 
2750000, Guiyang, Guiyang, China, 
2750000, Kāṭhmāḍaũ, Kathmandu, Nepal, 
2725000, Port-au-Prince, Port-au-Prince, Haiti, 
2700000, Cincinnati, Cincinnati, United States of America, incl. Dayton
2700000, Daegu, Taegu, Korea (South), 
2700000, Guayaquil, Guayaquil, Ecuador, 
2675000, Douala, Douala, Cameroon, 
2675000, Eṣfahān, Isfahan, Iran, 
2650000, Lanzhou, Lanzhou, China, 
2625000, Huizhou, Huizhou, China, 
2625000, Indore, Indore, India, 
2600000, Frankfurt, Frankfurt, Germany, 
2575000, Hamburg, Hamburg, Germany, 
2575000, Lisboa, Lisbon, Portugal, 
2575000, Toshkent, Tashkent, Uzbekistan, 
2575000, Yaoundé, Yaoundé, Cameroon, 
2550000, Sapporo, Sapporo, Japan, 
2525000, Budapest, Budapest, Hungary, 
2525000, Changzhou, Changzhou, China, 
2525000, Jiangyin, Jiangyin, China, 
2500000, Fukuoka, Fukuoka, Japan, 
2500000, Kumasi, Kumasi, Ghana, 
2475000, Maracaibo, Maracaibo, Venezuela, 
2475000, Tūnis, Tunis, Tunisia, 
2450000, Anshan, Anshan, China, incl. Liaoyang
2450000, Asunción, Asunción, Paraguay, 
2450000, Vancouver, Vancouver, Canada, 
2450000, Xuzhou, Xuzhou, China, 
2425000, Bhilai, Bhilai, India, incl. Raipur
2425000, Katowice, Katowice, Poland, Upper Silesian Area
2425000, Tel Aviv-Yafo, Tel Aviv-Jaffa, Israel, 
2400000, Bakı, Baku, Azerbaijan, 
2400000, Patna, Patna, India, 
2350000, Amsterdam, Amsterdam, Netherlands, Randstad North
2350000, Coimbatore, Coimbatore, India, 
2350000, Ṣan'ā', Sana'a, Yemen, 
2350000, St. Louis, St. Louis, United States of America, 
2325000, Antananarivo, Tananarive, Madagascar, 
2325000, Gujrānwāla, Gujranwala, Pakistan, 
2325000, Taizhong, Taichung, Taiwan (Rep. of China), 
2300000, Hyderābād, Hyderabad, Pakistan, 
2300000, Kampala, Kampala, Uganda, 
2300000, Tangshan, Tangshan, China, 
2275000, Ad-Dammām, Dammam, Saudi Arabia, 
2275000, Harare, Harare, Zimbabwe, 
2250000, Dubayy, Dubai, United Arab Emirates, 
2250000, Goiânia, Goiânia, Brazil, 
2250000, Portland, Portland, United States of America, 
2250000, Warszawa, Warsaw, Poland, 
2225000, Salt Lake City, Salt Lake City, United States of America, incl. Ogden Provo
2200000, Charlotte, Charlotte, United States of America, 
2200000, La Habana, Havana, Cuba, 
